dep;jour;pop;T
62;2020-05-21;1452778;121
63;2020-05-21;660240;76
64;2020-05-21;683169;28
65;2020-05-21;226839;7
66;2020-05-21;479000;23
67;2020-05-21;1132607;132
68;2020-05-21;763204;87
69;2020-05-21;1876051;252
70;2020-05-21;233194;11
71;2020-05-21;547824;77
72;2020-05-21;560227;119
73;2020-05-21;432548;91
74;2020-05-21;828405;79
75;2020-05-21;2148271;437
76;2020-05-21;1243788;228
77;2020-05-21;1423607;307
78;2020-05-21;1448625;166
79;2020-05-21;372627;23
80;2020-05-21;569769;100
81;2020-05-21;387898;45
82;2020-05-21;262618;19
83;2020-05-21;1073836;110
84;2020-05-21;560997;32
85;2020-05-21;683187;197
86;2020-05-21;437398;11
87;2020-05-21;370774;16
88;2020-05-21;359520;54
89;2020-05-21;332096;72
90;2020-05-21;140145;17
91;2020-05-21;1319401;134
92;2020-05-21;1613762;243
93;2020-05-21;1670149;239
94;2020-05-21;1406041;296
95;2020-05-21;1248354;132
971;2020-05-21;376879;101
972;2020-05-21;358749;11
973;2020-05-21;290691;175
974;2020-05-21;859959;85
975;2020-05-21;5997;0
976;2020-05-21;279471;2
977;2020-05-21;9961;3
978;2020-05-21;35334;0
01;2020-05-22;656955;377
02;2020-05-22;526050;275
03;2020-05-22;331315;360
04;2020-05-22;165197;135
05;2020-05-22;141756;38
06;2020-05-22;1079396;1184
07;2020-05-22;326875;123
08;2020-05-22;265531;156
09;2020-05-22;152398;52
10;2020-05-22;309907;184
11;2020-05-22;372705;583
12;2020-05-22;278360;112
13;2020-05-22;2034469;3021
14;2020-05-22;691453;690
15;2020-05-22;142811;57
16;2020-05-22;348180;268
17;2020-05-22;647080;197
18;2020-05-22;296404;117
19;2020-05-22;240336;120
21;2020-05-22;532886;321
22;2020-05-22;596186;613
23;2020-05-22;116270;213
24;2020-05-22;408393;146
25;2020-05-22;539449;315
26;2020-05-22;520560;196
27;2020-05-22;600687;237
28;2020-05-22;429425;264
29;2020-05-22;906554;457
2A;2020-05-22;162421;251
2B;2020-05-22;182258;121
30;2020-05-22;748468;687
31;2020-05-22;1400935;1019
32;2020-05-22;190040;102
33;2020-05-22;1633440;869
34;2020-05-22;1176145;1628
